PassengerId,Pclass,Name,Sex,SibSp,Parch,Ticket,Embarked,Age_na,Fare_na,Age,Fare,Survived
1,3,135,2,1,0,629,3,False,False,-0.5748961186408397,-0.5021549737532789,0
2,1,245,1,1,0,713,1,False,False,0.659704782839092,0.747956790713472,1
3,3,442,1,0,0,799,3,False,False,-0.26624589327085674,-0.4889770578717757,1
4,1,354,1,1,0,56,3,False,False,0.42821711381160477,0.3929671642717883,1
5,3,19,2,0,0,565,3,False,False,0.42821711381160477,-0.48653670307890473,0
6,3,688,2,0,0,327,2,True,False,-0.11192078058586531,-0.47856552818347103,0
7,1,641,2,0,0,98,3,False,False,1.8943056843190236,0.36880765182236575,0
8,3,769,2,3,1,475,3,False,False,-2.1181472454907544,-0.232251733661751,0
9,3,511,1,0,2,416,3,False,False,-0.18908333692836105,-0.42634193561603256,1
10,2,714,1,1,0,158,1,False,False,-1.1921965693808054,-0.056628184496082555,1
11,3,895,1,1,1,734,3,False,False,-1.9638221328057628,-0.31766415141223453,1
12,1,115,1,0,0,44,3,False,False,2.2029559096890066,-0.12536419373400304,1
13,3,898,2,0,0,641,3,False,False,-0.7292212313258312,-0.48653670307890473,0
14,3,32,2,1,5,401,3,False,False,0.7368673391815876,-0.0331187825634809,0
15,3,1036,1,0,0,496,3,False,False,-1.1921965693808054,-0.4903592748264578,0
16,2,449,1,0,0,184,3,False,False,1.9714682406615194,-0.33133013825231183,1
17,3,838,2,4,1,574,2,False,False,-2.1181472454907544,-0.07509288500086134,0
18,2,1068,2,0,0,181,3,True,False,-0.11192078058586531,-0.3898986532812148,1
19,3,1034,1,1,0,365,3,False,False,0.11956688844162187,-0.29228446156637655,0
20,3,636,1,0,0,219,1,True,False,-0.11192078058586531,-0.5026430447118531,1
21,2,355,2,0,0,166,3,False,False,0.42821711381160477,-0.13610175482263526,0
22,2,97,2,0,0,183,3,False,False,0.3510545574691091,-0.3898986532812148,1
23,3,652,1,0,0,332,2,False,False,-1.1150340130383098,-0.4869427781164385,1
24,1,939,2,0,0,48,3,False,False,-0.11192078058586531,0.049365209435557486,1
25,3,771,1,3,1,475,3,False,False,-1.6551719074357798,-0.232251733661751,0
26,3,52,1,1,5,397,3,False,False,0.659704782839092,-0.030922463249897024,1
27,3,315,2,0,0,214,1,True,False,-0.11192078058586531,-0.5026430447118531,0
28,1,340,2,3,2,111,3,False,False,-0.8063837876683269,4.4908109324606995,0
29,3,746,1,0,0,337,2,True,False,-0.11192078058586531,-0.4898712038678836,1
30,3,1004,2,0,0,436,3,True,False,-0.11192078058586531,-0.48954712475139034,0
31,1,1022,2,0,0,715,1,False,False,0.8140298955240834,-0.10250685460205651,0
32,1,954,1,1,0,700,1,True,False,-0.11192078058586531,2.2168063405425014,1
33,3,372,1,0,0,347,2,True,False,-0.11192078058586531,-0.492393554581795,1
34,2,1055,2,0,0,656,3,False,False,2.820256360428972,-0.43870574913863397,0
35,1,665,2,1,0,717,1,False,False,-0.11192078058586531,0.9605116931725325,0
36,1,466,2,1,0,49,3,False,False,0.9683550082090748,0.37149204209452386,0
37,3,627,2,0,0,242,1,True,False,-0.11192078058586531,-0.5025610487908126,1
38,3,169,2,0,0,617,3,False,False,-0.6520586749833354,-0.48653670307890473,0
39,3,1031,1,2,0,366,3,False,False,-0.8835463440108225,-0.29228446156637655,0
40,3,727,1,1,0,221,1,False,False,-1.1921965693808054,-0.42422565993965483,1
41,3,10,1,1,0,607,3,False,False,0.8140298955240834,-0.4587166584401758,0
42,2,1021,1,1,0,60,3,False,False,-0.18908333692836105,-0.23371594653747357,0
43,3,558,2,0,0,470,1,True,False,-0.11192078058586531,-0.48954712475139034,0
44,2,571,1,1,2,758,1,False,False,-2.0409846891482584,0.16804844829012647,1
45,3,277,1,0,0,336,2,False,False,-0.8063837876683269,-0.4898712038678836,1
46,3,854,2,0,0,735,3,True,False,-0.11192078058586531,-0.48653670307890473,0
47,3,589,2,1,0,554,2,True,False,-0.11192078058586531,-0.34109155742379565,0
48,3,745,1,0,0,89,2,True,False,-0.11192078058586531,-0.492393554581795,1
49,3,893,2,2,0,228,1,True,False,-0.11192078058586531,-0.2204560347349299,0
50,3,44,1,1,0,455,3,False,False,-0.8835463440108225,-0.29618902923497004,0
51,3,774,2,4,1,296,3,False,False,-1.7323344637782756,0.13111709499673455,0
52,3,734,2,0,0,628,3,False,False,-0.6520586749833354,-0.4914174126646466,0
53,1,421,1,1,0,701,1,False,False,1.508492902606545,0.8542762160454398,1
54,2,322,1,1,0,286,3,False,False,-0.03475822424336958,-0.13610175482263526,1
55,1,764,2,0,1,33,1,False,False,2.7430938040864765,0.5663143504866667,0
56,1,1076,2,0,0,110,3,True,False,-0.11192078058586531,0.049365209435557486,1
57,2,867,1,0,0,662,3,False,False,-0.6520586749833354,-0.43870574913863397,1
58,3,735,2,0,0,259,1,False,False,-0.07333950241461744,-0.5025610487908126,0
59,2,1052,1,1,2,671,3,False,False,-1.886659576463267,-0.10193678772244187,1
60,3,383,2,5,2,676,3,False,False,-1.4236842384082926,0.27192556654538874,0
61,3,923,2,0,0,235,1,False,False,-0.5748961186408397,-0.5025610487908126,0
62,1,480,1,0,0,36,0,False,False,0.659704782839092,0.9181315156976183,1
63,1,425,2,1,0,548,3,False,False,1.199842677236562,0.9859733789394308,0
64,3,929,2,3,2,405,3,False,False,-1.9638221328057628,-0.09900836197099674,0
65,1,966,2,0,0,718,1,True,False,-0.11192078058586531,-0.10250685460205651,0
66,3,694,2,1,1,227,1,True,False,-0.11192078058586531,-0.34605426293057806,1
67,2,736,1,0,0,660,3,False,False,-0.03475822424336958,-0.43870574913863397,1
68,3,239,2,0,0,744,3,False,False,-0.8063837876683269,-0.4844223796863613,0
69,3,29,1,4,2,295,3,False,False,-0.9607089003533184,-0.4889770578717757,1
70,3,550,2,2,0,319,3,False,False,-0.26624589327085674,-0.474578964593837,0
71,2,494,2,0,0,666,3,False,False,0.1967294447841176,-0.43870574913863397,0
72,3,385,1,5,2,676,3,False,False,-1.037871456695814,0.27192556654538874,0
73,2,470,2,0,0,742,3,False,False,-0.6520586749833354,0.7912330664683285,0
74,3,205,2,1,0,244,1,False,False,-0.26624589327085674,-0.3615085417628712,0
75,3,104,2,0,0,93,3,False,False,0.1967294447841176,0.4592628187168379,1
76,3,679,2,0,0,420,3,False,False,-0.3434084496133525,-0.4943458384160918,0
77,3,957,2,0,0,428,3,True,False,-0.11192078058586531,-0.48954712475139034,0
78,3,697,2,0,0,566,3,True,False,-0.11192078058586531,-0.48653670307890473,0
79,2,161,2,0,2,190,3,False,False,-2.2084274364114744,-0.07753323979373229,1
80,3,291,1,0,0,518,3,False,False,0.04240433209912615,-0.4001481434112728,1
81,3,1038,2,0,0,368,3,False,False,-0.5748961186408397,-0.46799000665308543,0
82,3,909,2,0,0,376,3,False,False,-0.03475822424336958,-0.4582285874816016,1
83,3,648,1,0,0,334,2,True,False,-0.11192078058586531,-0.4916614481439337,1
84,1,177,2,0,0,29,3,False,False,-0.11192078058586531,0.27583013421398234,0
85,2,481,1,0,0,761,3,False,False,-0.9607089003533184,-0.43870574913863397,1
86,3,63,1,3,0,294,3,False,False,0.2738920011266133,-0.334258564003757,1
87,3,334,2,1,3,807,3,False,False,-1.037871456695814,0.027402016299718866,0
88,3,938,2,0,0,779,3,True,False,-0.11192078058586531,-0.48653670307890473,0
89,1,339,1,3,2,111,3,False,False,-0.4977335622983439,4.4908109324606995,1
90,3,189,2,0,0,360,3,False,False,-0.42057100595584823,-0.48653670307890473,0
91,3,203,2,0,0,361,3,False,False,-0.03475822424336958,-0.48653670307890473,0
92,3,35,2,0,0,411,3,False,False,-0.7292212313258312,-0.4903592748264578,0
93,1,190,2,1,0,809,3,False,False,1.2770052335790578,0.5506140838912521,0
94,3,272,2,1,2,655,3,False,False,-0.26624589327085674,-0.24201315283323482,0
95,3,237,2,0,0,514,3,False,False,2.280118466031502,-0.5021549737532789,0
96,3,913,2,0,0,568,3,True,False,-0.11192078058586531,-0.48653670307890473,0
97,1,375,2,0,0,725,1,False,False,3.206069142141451,0.032852792765075495,0
98,1,395,2,0,1,730,1,False,False,-0.4977335622983439,0.5932382968454534,1
99,2,286,1,0,1,136,3,False,False,0.3510545574691091,-0.19467026985153824,1
100,2,523,2,1,0,180,3,False,False,0.3510545574691091,-0.13610175482263526,0
101,3,807,1,0,0,463,3,False,False,-0.11192078058586531,-0.48954712475139034,0
102,3,809,2,0,0,435,3,True,False,-0.11192078058586531,-0.48954712475139034,0
103,1,1057,2,0,1,501,3,False,False,-0.6520586749833354,0.8651758166923184,0
104,3,504,2,0,0,605,3,False,False,0.2738920011266133,-0.4747410041520837,0
105,3,400,2,2,0,292,3,False,False,0.5825422264965963,-0.4889770578717757,0
106,3,674,2,0,0,427,3,False,False,-0.11192078058586531,-0.48954712475139034,0
107,3,889,1,0,0,358,3,False,False,-0.6520586749833354,-0.4943458384160918,1
108,3,693,2,0,0,302,3,True,False,-0.11192078058586531,-0.49190548362322084,1
109,3,830,2,0,0,467,3,False,False,0.659704782839092,-0.48954712475139034,0
110,3,686,1,1,0,562,2,True,False,-0.11192078058586531,-0.17221900575712545,1
111,1,819,2,0,0,3,3,False,False,1.3541677899215534,0.37149204209452386,0
112,3,1086,1,1,0,231,1,False,False,-1.1536152912095576,-0.3615085417628712,0
113,3,81,2,0,0,324,3,False,False,-0.5748961186408397,-0.48653670307890473,0
114,3,518,1,1,0,588,3,False,False,-0.7292212313258312,-0.45188366502013716,0
115,3,57,1,0,0,211,1,False,False,-0.9607089003533184,-0.3614284981256651,0
116,3,793,2,0,0,795,3,False,False,-0.6520586749833354,-0.4889770578717757,0
117,3,226,2,0,0,552,2,False,False,3.167487863970203,-0.492393554581795,0
118,2,1020,2,1,0,60,3,False,False,-0.03475822424336958,-0.23371594653747357,0
119,1,84,2,0,1,698,1,False,False,-0.42057100595584823,4.188613013182235,0
120,3,28,1,4,2,401,3,False,False,-2.1181472454907544,-0.0331187825634809,0
121,2,452,2,2,0,742,3,False,False,-0.6520586749833354,0.7912330664683285,0
122,3,685,2,0,0,646,3,True,False,-0.11192078058586531,-0.48653670307890473,0
123,2,713,2,1,0,158,1,False,False,0.23531072295536545,-0.056628184496082555,0
124,2,1045,1,0,0,264,3,False,False,0.23531072295536545,-0.3898986532812148,1
125,1,1056,2,0,1,501,3,False,False,1.8943056843190236,0.8651758166923184,0
126,3,726,2,1,0,221,1,False,False,-1.346521682065797,-0.42422565993965483,1
127,3,655,2,0,0,555,2,True,False,-0.11192078058586531,-0.492393554581795,0
128,3,620,2,0,0,648,3,False,False,-0.42057100595584823,-0.5042692971458222,1
129,3,803,1,1,1,234,1,True,False,-0.11192078058586531,-0.2071980752162206,1
130,3,309,2,0,0,383,3,False,False,1.199842677236562,-0.5075237542975949,0
131,3,295,2,0,0,459,1,False,False,0.2738920011266133,-0.48954712475139034,0
132,3,210,2,0,0,765,3,False,False,-0.7292212313258312,-0.5060595414218724,0
133,3,852,1,1,0,643,3,False,False,1.3541677899215534,-0.36061439576676335,0
134,2,1049,1,1,0,130,3,False,False,-0.03475822424336958,-0.13610175482263526,1
135,2,949,2,0,0,659,3,False,False,-0.3434084496133525,-0.3898986532812148,0
136,2,841,2,0,0,753,1,False,False,-0.4977335622983439,-0.3499588305991716,0
137,1,723,1,0,2,62,3,False,False,-0.8063837876683269,-0.13057093472007253,1
138,1,353,2,1,0,56,3,False,False,0.5825422264965963,0.3929671642717883,0
139,3,761,2,0,0,603,3,False,False,-1.037871456695814,-0.4637594075841644,0
140,1,365,2,0,0,707,1,False,False,-0.42057100595584823,0.9025132450232441,0
141,3,121,1,0,2,243,1,True,False,-0.11192078058586531,-0.34605426293057806,0
142,3,737,1,0,0,400,3,False,False,-0.5748961186408397,-0.492393554581795,1
143,3,407,1,1,0,798,3,False,False,-0.42057100595584823,-0.334258564003757,1
144,3,148,2,0,0,525,2,False,False,-0.8063837876683269,-0.5119163929247627,0
145,2,36,2,0,0,137,3,False,False,-0.8835463440108225,-0.41918291079566633,0
146,2,724,2,1,1,667,3,False,False,-0.8063837876683269,0.07376875736426705,0
147,3,33,2,0,0,486,3,False,False,-0.18908333692836105,-0.49149940858568714,1
148,3,332,1,2,2,807,3,False,False,-1.5780093510932842,0.027402016299718866,0
149,2,718,2,0,2,132,3,False,False,0.5439609483253484,-0.13610175482263526,0
150,2,154,2,0,0,177,3,False,False,0.9683550082090748,-0.3898986532812148,0
151,2,82,2,0,0,743,3,False,False,1.6628180152915364,-0.3991720014941245,0
152,1,790,1,1,0,40,3,False,False,-0.5748961186408397,0.6565254819018516,1
153,3,662,2,0,0,620,3,False,False,2.0100495188327674,-0.48653670307890473,0
154,3,1097,2,0,2,644,3,False,False,0.8526111736953312,-0.36061439576676335,0
155,3,754,2,0,0,685,3,True,False,-0.11192078058586531,-0.5009347963568433,0
156,1,1067,2,0,1,711,1,False,False,1.6628180152915364,0.554600647480886,0
157,3,370,1,0,0,502,2,False,False,-1.037871456695814,-0.4927195859821226,1
158,3,232,2,0,0,781,3,False,False,0.04240433209912615,-0.48653670307890473,0
159,3,941,2,0,0,306,3,True,False,-0.11192078058586531,-0.474578964593837,0
160,3,880,2,8,2,678,3,True,False,-0.11192078058586531,0.7141178550136061,0
161,3,241,2,0,1,563,3,False,False,1.1226801208940664,-0.32937785441801504,0
162,2,1044,1,0,0,668,3,False,False,0.8140298955240834,-0.3362108478380538,1
163,3,99,2,0,0,389,3,False,False,-0.26624589327085674,-0.49190548362322084,0
164,3,164,2,0,0,314,3,False,False,-0.9607089003533184,-0.474578964593837,0
165,3,773,2,4,1,296,3,False,False,-2.19530980183325,0.13111709499673455,0
166,3,376,2,0,2,509,3,False,False,-1.5780093510932842,-0.24298929475038322,1
167,1,201,1,0,1,32,3,True,False,-0.11192078058586531,0.43006055712342683,1
168,3,934,1,1,4,405,3,False,False,1.199842677236562,-0.09900836197099674,0
169,1,83,2,0,0,688,3,True,False,-0.11192078058586531,-0.13756596769835783,0
170,3,603,2,0,0,93,3,False,False,-0.11192078058586531,0.4592628187168379,0
171,1,1026,2,0,0,8,3,False,False,2.4344435787164938,0.010319532749622166,0
172,3,836,2,4,1,574,2,False,False,-1.9638221328057628,-0.07509288500086134,0
173,3,507,1,1,1,416,3,False,False,-2.19530980183325,-0.42634193561603256,1
174,3,926,2,0,0,787,3,False,False,-0.6520586749833354,-0.4889770578717757,0
175,1,943,2,0,0,104,1,False,False,2.048630797004015,-0.04442641053172777,0
176,3,555,2,1,1,494,3,False,False,-0.8835463440108225,-0.4903592748264578,0
177,3,579,2,3,1,585,3,True,False,-0.11192078058586531,-0.14651328451093992,0
178,1,485,1,0,0,709,1,False,False,1.5856554589490406,-0.08314605581733553,0
179,2,408,2,0,0,202,3,False,False,0.04240433209912615,-0.3898986532812148,0
180,3,590,2,0,0,686,3,False,False,0.5053796701541005,-0.6436955517397944,0
181,3,882,1,8,2,678,3,True,False,-0.11192078058586531,0.7141178550136061,0
182,2,799,2,0,0,752,1,True,False,-0.11192078058586531,-0.34987683467813113,0
183,3,47,2,4,2,397,3,False,False,-1.5780093510932842,-0.030922463249897024,0
184,2,92,2,2,1,133,3,False,False,-2.19530980183325,0.11769514363594429,1
185,3,551,1,0,2,320,3,False,False,-1.9638221328057628,-0.21370503723593173,1
186,1,857,2,0,0,38,3,True,False,-0.11192078058586531,0.3324463654085885,0
187,3,741,1,1,0,551,2,True,False,-0.11192078058586531,-0.34109155742379565,1
188,1,855,2,0,0,14,3,False,False,1.199842677236562,-0.12536419373400304,1
189,3,123,2,1,1,521,2,False,False,0.8140298955240834,-0.34109155742379565,0
190,3,1017,2,0,0,465,3,False,False,0.5053796701541005,-0.48954712475139034,0
191,2,816,1,0,0,143,3,False,False,0.1967294447841176,-0.3898986532812148,1
192,2,171,2,0,0,274,3,False,False,-0.8063837876683269,-0.3898986532812148,0
193,3,24,1,1,0,488,3,False,False,-0.8063837876683269,-0.4903592748264578,1
194,2,717,2,1,1,132,3,False,False,-2.0409846891482584,-0.13610175482263526,1
195,1,142,1,0,0,721,1,False,False,1.1226801208940664,-0.10250685460205651,1
196,1,616,1,0,0,700,1,False,False,2.2029559096890066,2.2168063405425014,1
197,3,663,2,0,0,542,2,True,False,-0.11192078058586531,-0.492393554581795,0
198,3,753,2,0,1,591,3,False,False,0.9683550082090748,-0.4796217137378256,0
199,3,618,1,0,0,553,2,True,False,-0.11192078058586531,-0.492393554581795,1
200,2,1085,1,0,0,193,3,False,False,-0.42057100595584823,-0.3898986532812148,0
201,3,1028,2,0,0,371,3,False,False,-0.11192078058586531,-0.4582285874816016,0
202,3,886,2,8,2,678,3,True,False,-0.11192078058586531,0.7141178550136061,0
203,3,501,2,0,0,289,3,False,False,0.3510545574691091,-0.5168790984315451,0
204,3,1082,2,0,0,212,1,False,False,1.2384239554078098,-0.5026430447118531,0
205,3,211,2,0,0,636,3,False,False,-0.8835463440108225,-0.48653670307890473,1
206,3,974,1,0,1,381,3,False,False,-2.1181472454907544,-0.4394378555764953,0
207,3,62,2,1,0,294,3,False,False,0.1967294447841176,-0.334258564003757,0
208,3,12,2,0,0,261,1,False,False,-0.26624589327085674,-0.2769102263712895,1
209,3,176,1,0,0,534,2,False,False,-1.037871456695814,-0.492393554581795,1
210,1,114,2,0,0,20,1,False,False,0.8140298955240834,-0.03848756310779698,1
211,3,16,2,0,0,767,3,False,False,-0.42057100595584823,-0.5060595414218724,0
212,2,166,1,0,0,681,3,False,False,0.42821711381160477,-0.23371594653747357,1
213,3,798,2,0,0,632,3,False,False,-0.5748961186408397,-0.5021549737532789,0
214,2,371,2,0,0,196,3,False,False,0.04240433209912615,-0.3898986532812148,0
215,3,546,2,1,0,532,2,True,False,-0.11192078058586531,-0.492393554581795,0
216,1,720,1,1,0,500,1,False,False,0.11956688844162187,1.5677539615598672,1
217,3,469,1,0,0,800,3,False,False,-0.18908333692836105,-0.4889770578717757,1
218,2,487,2,1,0,172,3,False,False,0.9683550082090748,-0.11657891647966762,0
219,1,86,1,0,0,72,1,False,False,0.1967294447841176,0.8457349742703915,1
220,2,426,2,0,0,810,3,False,False,0.04240433209912615,-0.43870574913863397,0
221,3,976,2,0,0,780,3,False,False,-1.037871456695814,-0.48653670307890473,1
222,2,128,2,0,0,123,3,False,False,-0.18908333692836105,-0.3898986532812148,0
223,3,393,2,0,0,120,3,False,False,1.6628180152915364,-0.48653670307890473,0
224,3,719,2,0,0,453,3,True,False,-0.11192078058586531,-0.48954712475139034,0
225,1,474,2,1,0,109,3,False,False,0.659704782839092,1.1133598991272948,1
226,3,100,2,0,0,733,3,False,False,-0.5748961186408397,-0.46115701323304675,0
227,2,661,2,0,0,803,3,False,False,-0.8063837876683269,-0.43870574913863397,1
228,3,612,2,0,0,631,3,False,False,-0.6906399531545833,-0.5021549737532789,0
229,2,319,2,0,0,147,3,False,False,-0.8835463440108225,-0.3898986532812148,0
230,3,582,1,3,1,585,3,True,False,-0.11192078058586531,-0.14651328451093992,0
231,1,427,1,1,0,548,3,False,False,0.42821711381160477,0.9859733789394308,1
232,3,575,2,0,0,388,3,False,False,-0.03475822424336958,-0.49190548362322084,0
233,2,928,2,0,0,153,3,False,False,2.280118466031502,-0.380137234109731,0
234,3,50,1,4,2,397,3,False,False,-1.886659576463267,-0.030922463249897024,1
235,2,595,2,0,0,661,3,False,False,-0.42057100595584823,-0.43870574913863397,0
236,3,417,1,0,0,808,3,True,False,-0.11192078058586531,-0.49629812225038855,0
237,2,463,2,1,0,237,3,False,False,1.1226801208940664,-0.13610175482263526,0
238,2,218,1,0,2,665,3,False,False,-1.6551719074357798,-0.13122104523689335,1
239,2,797,2,0,0,278,3,False,False,-0.8063837876683269,-0.43870574913863397,0
240,2,478,2,0,0,760,3,False,False,0.2738920011266133,-0.4040527110798664,0
241,3,1087,1,1,0,231,1,True,False,-0.11192078058586531,-0.3615085417628712,0
242,3,702,1,1,0,533,2,True,False,-0.11192078058586531,-0.34109155742379565,1
243,2,214,2,0,0,805,3,False,False,-0.03475822424336958,-0.43870574913863397,0
244,3,621,2,0,0,786,3,False,False,-0.5748961186408397,-0.5045953285461499,0
245,3,58,2,0,0,256,1,False,False,0.04240433209912615,-0.5026430447118531,0
246,1,670,2,2,0,108,2,False,False,1.1226801208940664,1.1133598991272948,0
247,3,597,1,0,0,392,3,False,False,-0.3434084496133525,-0.49190548362322084,0
248,2,410,1,0,2,199,3,False,False,-0.42057100595584823,-0.36061439576676335,1
249,1,95,2,1,1,61,3,False,False,0.5825422264965963,0.38231159910419654,1
250,2,183,2,1,0,174,3,False,False,1.8943056843190236,-0.13610175482263526,0
251,3,828,2,0,0,507,3,True,False,-0.11192078058586531,-0.5021549737532789,0
252,3,975,1,1,1,381,3,False,False,-0.03475822424336958,-0.4394378555764953,0
253,1,962,2,0,0,35,3,False,False,2.5116061350589893,-0.12536419373400304,0
254,3,606,2,1,0,642,3,False,False,0.04240433209912615,-0.32937785441801504,0
255,3,859,1,0,2,550,3,False,False,0.8911924518665791,-0.24909018173256062,0
256,3,1012,1,0,2,220,1,False,False,-0.03475822424336958,-0.34605426293057806,1
257,1,999,1,0,0,703,1,True,False,-0.11192078058586531,0.9025132450232441,1
258,1,199,1,0,0,1,3,False,False,0.04240433209912615,1.0450299649269081,1
259,1,1040,1,0,0,726,1,False,False,0.42821711381160477,9.358424598242152,1
260,2,781,1,0,1,134,3,False,False,1.5856554589490406,-0.13610175482263526,1
261,3,946,2,0,0,578,2,True,False,-0.11192078058586531,-0.492393554581795,0
262,3,48,2,4,2,397,3,False,False,-2.0409846891482584,-0.030922463249897024,1
263,1,986,2,1,1,2,3,False,False,1.7399805716340322,0.9112985222775797,0
264,1,428,2,0,0,19,3,False,False,0.8140298955240834,-0.6436955517397944,0
265,3,446,1,0,0,572,2,True,False,-0.11192078058586531,-0.492393554581795,0
266,2,829,2,0,0,653,3,False,False,0.5053796701541005,-0.43870574913863397,0
267,3,776,2,4,1,296,3,False,False,-1.037871456695814,0.13111709499673455,0
268,3,801,2,1,0,402,3,False,False,-0.3434084496133525,-0.49190548362322084,1
269,1,392,1,0,1,702,3,False,False,2.2029559096890066,2.35232802746788,1
270,1,110,1,0,0,731,3,False,False,0.42821711381160477,2.0042514380834406,1
271,1,159,2,0,0,54,3,True,False,-0.11192078058586531,-0.03848756310779698,0
272,3,1009,2,0,0,686,3,False,False,-0.3434084496133525,-0.6436955517397944,1
273,2,660,1,0,1,195,3,False,False,0.8911924518665791,-0.26300020405192504,1
274,1,715,2,0,1,710,1,False,False,0.5825422264965963,-0.06386725295365495,0
275,3,438,1,0,0,558,2,True,False,-0.11192078058586531,-0.492393554581795,1
